month,salary,prev_balance,saving_fund,giving_mom,auto_loan,car_term,charging,parking,house_loan,house_term,property_fee,vehicle_fee,water,electricity,gas
2025-10,10103.85,-141.5,1000,1000,1725,1,80,50,3204.19,10,256.61,85.5,0,7.55,0
2025-11,9313.46,0,1000,1000,1725,2,20.67,32,3204.19,11,513.22,85.5,5.94,51.54,0
2025-12,9376.57,0,1000,1000,1725,3,44.96,30,3204.19,12,256.61,85.5,0,51.84,0
2026-01,9723.63,-139.55,1000,1000,1725,4,50.29,32,3164.48,13,256.61,85.5,39.6,54.88,38.9
2026-02,17282.64,693.19,8000,1000,1725,5,64.84,92,3044.81,14,256.61,85.5,32.4,52.76,0
2026-03,9696,1300,1000,0,1725,6,84.08,129.5,3283.93,15,256.61,85.5,0,65.77,44.2
2026-04,9693.61,-676.83,1000,1000,1725,7,91.09,92.9,3164.48,16,256.61,85.5,46.42,77.63,0
2026-05,11919.04,0,1000,1000,1725,8,104.92,135,3164.48,17,256.61,85.5,0,93.54,43.6
2026-06,9935.98,0,1000,1000,1725,9,96.71,151.5,3164.8,18,256.61,85.5,0,144.65,0
2026-07,10368.29,1752.94,1000,1000,1725,10,85.17,33,3164.48,19,256.61,85.8,0,132.88,0
